
airline	source	dest	equipment	start_lon	end_lon	start_lat	end_lat
0	2B	AER	KZN	CR2	39.956589	49.278728	43.449928	55.606186
1	2B	ASF	KZN	CR2	48.006278	49.278728	46.283333	55.606186
2	2B	ASF	MRV	CR2	48.006278	43.081889	46.283333	44.225072
3	2B	CEK	KZN	CR2	61.503333	49.278728	55.305836	55.606186
4	2B	CEK	OVB	CR2	61.503333	82.650656	55.305836	55.012622
5	2B	DME	KZN	CR2	37.906111	49.278728	55.408611	55.606186
6	2B	DME	NBC	CR2	37.906111	52.060000	55.408611	55.340000
7	2B	DME	TGK	CR2	37.906111	-200.000000	55.408611	-200.000000
8	2B	DME	UUA	CR2	37.906111	52.801700	55.408611	54.640000
9	2B	EGO	KGD	CR2	36.590100	20.592633	50.643800	54.890050
10	2B	EGO	KZN	CR2	36.590100	49.278728	50.643800	55.606186
11	2B	GYD	NBC	CR2	50.046667	52.060000	40.467500	55.340000
12	2B	KGD	EGO	CR2	20.592633	36.590100	54.890050	50.643800
13	2B	KZN	AER	CR2	49.278728	39.956589	55.606186	43.449928
14	2B	KZN	ASF	CR2	49.278728	48.006278	55.606186	46.283333
15	2B	KZN	CEK	CR2	49.278728	61.503333	55.606186	55.305836
16	2B	KZN	DME	CR2	49.278728	37.906111	55.606186	55.408611
17	2B	KZN	EGO	CR2	49.278728	36.590100	55.606186	50.643800
18	2B	KZN	LED	CR2	49.278728	30.262503	55.606186	59.800292
19	2B	KZN	SVX	CR2	49.278728	60.802728	55.606186	56.743108
20	2B	LED	KZN	CR2	30.262503	49.278728	59.800292	55.606186
21	2B	LED	NBC	CR2	30.262503	52.060000	59.800292	55.340000
22	2B	LED	UUA	CR2	30.262503	52.801700	59.800292	54.640000
23	2B	MRV	ASF	CR2	43.081889	48.006278	44.225072	46.283333
24	2B	NBC	DME	CR2	52.060000	37.906111	55.340000	55.408611
25	2B	NBC	GYD	CR2	52.060000	50.046667	55.340000	40.467500
26	2B	NBC	LED	CR2	52.060000	30.262503	55.340000	59.800292
27	2B	NBC	SVX	CR2	52.060000	60.802728	55.340000	56.743108
28	2B	NJC	SVX	CR2	76.483617	60.802728	60.949272	56.743108
29	2B	NJC	UUA	CR2	76.483617	52.801700	60.949272	54.640000
...	...	...	...	...	...	...	...	...
67398	ZL	SYD	ABX	SF3	151.177222	146.958056	-33.946111	-36.067778
67399	ZL	SYD	ARM	SF3	151.177222	151.617222	-33.946111	-30.528056
67400	ZL	SYD	BHQ	SF3	151.177222	141.472000	-33.946111	-32.001400
67401	ZL	SYD	BHS	SF3	151.177222	149.652000	-33.946111	-33.409400
67402	ZL	SYD	BNK	SF3	151.177222	153.562500	-33.946111	-28.833889
67403	ZL	SYD	DBO	SF3	151.177222	148.574722	-33.946111	-32.216667
67404	ZL	SYD	GFF	SF3	151.177222	146.067000	-33.946111	-34.250800
67405	ZL	SYD	LSY	SF3	151.177222	153.260000	-33.946111	-28.830300
67406	ZL	SYD	MIM	SF3	151.177222	149.901000	-33.946111	-36.908600
67407	ZL	SYD	MQL	SF3	151.177222	142.086000	-33.946111	-34.229200
67408	ZL	SYD	MYA	SF3	151.177222	150.144000	-33.946111	-35.897800
67409	ZL	SYD	NRA	SF3	151.177222	146.512000	-33.946111	-34.702200
67410	ZL	SYD	NTL	SF3	151.177222	151.830000	-33.946111	-32.780000
67411	ZL	SYD	OAG	SF3	151.177222	149.133000	-33.946111	-33.381700
67412	ZL	SYD	PKE	SF3	151.177222	148.239000	-33.946111	-33.131400
67413	ZL	SYD	TRO	SF3	151.177222	152.514000	-33.946111	-31.888600
67414	ZL	SYD	WGA	SF3	151.177222	147.466389	-33.946111	-35.165278
67415	ZL	TRO	GFN	SF3	152.514000	153.030000	-31.888600	-29.759400
67416	ZL	TRO	SYD	SF3	152.514000	151.177222	-31.888600	-33.946111
67417	ZL	TSV	ISA	SF3	146.765278	139.488611	-19.252500	-20.663889
67418	ZL	TSV	WIN	SF3	146.765278	143.086000	-19.252500	-22.363600
67419	ZL	WGA	MEL	SF3	147.466389	144.843333	-35.165278	-37.673333
67420	ZL	WGA	SYD	SF3	147.466389	151.177222	-35.165278	-33.946111
67421	ZL	WIN	LRE	SF3	143.086000	144.280000	-22.363600	-23.434200
67422	ZL	WIN	TSV	SF3	143.086000	146.765278	-22.363600	-19.252500
67423	ZL	WYA	ADL	SF3	137.514000	138.530556	-33.058900	-34.945000
67424	ZM	DME	FRU	734	37.906111	74.477556	55.408611	43.061306
67425	ZM	FRU	DME	734	74.477556	37.906111	43.061306	55.408611
67426	ZM	FRU	OSS	734	74.477556	72.793269	43.061306	40.608989
67427	ZM	OSS	FRU	734	72.793269	74.477556	40.608989	43.061306
